"INDICATOR";"FREQ";"AGE";"SEX";"LOCATION";"REF_AREA";"SCENARIO";"TIME_PERIOD";"OBS_VALUE"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"2000";"0.255"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"2005";"0.241"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"2010";"0"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"2015";"0"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"AZE";"M";"2020";"0"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"1995";"11.844"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"2000";"12.517"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"2005";"8.27"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"2010";"6.172"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"2015";"5.034"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"CYP";"M";"2020";"4.024"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"1995";"-4.759"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"2000";"-4.842"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"2005";"-4.958"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"2010";"-3.691"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"2015";"-3.432"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"DJI";"M";"2020";"-3.218"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"1995";"-0.484"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"2000";"10.434"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"2005";"2.076"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"2010";"1.763"
"SM_POP_NMRT";"A";"_T";"_T";"_T";"ERI";"M";"2015";"-0.138"
