Data Source,World Development Indicators,,,,,
,,,,,,
Last Updated Date,2017-02-01,,,,,
,,,,,,
"Egypt, Arab Rep.",EGY,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21,20.3,
"Egypt, Arab Rep.",EGY,"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN,,18.9,
"Egypt, Arab Rep.",EGY,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,58.5,,
"Egypt, Arab Rep.",EGY,"Contraceptive prevalence, modern methods (% of women ages 15-49)",SP.DYN.CONM.ZS,56.9,,
"Egypt, Arab Rep.",EGY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.129,,
"Egypt, Arab Rep.",EGY,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.797,,
"Egypt, Arab Rep.",EGY,"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,189.346,,
"Egypt, Arab Rep.",EGY,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,113.049,,
"Egypt, Arab Rep.",EGY,Completeness of total death reporting (% of reported total deaths to estimated total deaths),SP.DTH.REPT.ZS,,,
"Egypt, Arab Rep.",EGY,Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths),SP.DTH.INFR.ZS,,,
"Egypt, Arab Rep.",EGY,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,52.4352,51.3308,
"Egypt, Arab Rep.",EGY,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,,,
"Egypt, Arab Rep.",EGY,Consumption of iodized salt (% of households),SN.ITK.SALT.ZS,,,
"Egypt, Arab Rep.",EGY,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,12,12,12
"Egypt, Arab Rep.",EGY,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,5,5,
"Egypt, Arab Rep.",EGY,International migrant stock (% of population),SM.POP.TOTL.ZS,,0.5372672867,
"Egypt, Arab Rep.",EGY,"International migrant stock, total",SM.POP.TOTL,,491643,
